index,x,y,z,coverage_db
53,-735.0,675.0,1.5,-95.5
54,-725.0,675.0,1.5,-99.8
55,-695.0,675.0,1.5,-100.5
56,-575.0,675.0,1.5,-101.5
57,-775.0,665.0,1.5,-94.4
58,-765.0,665.0,1.5,-98.7
59,-755.0,665.0,1.5,-97.0
60,-745.0,665.0,1.5,-99.0
61,-715.0,665.0,1.5,-96.0
62,-695.0,665.0,1.5,-100.4
63,-565.0,665.0,1.5,-100.0
64,-555.0,665.0,1.5,-101.8
65,-795.0,655.0,1.5,-96.0
66,-785.0,655.0,1.5,-94.0
67,-745.0,655.0,1.5,-97.4
68,-735.0,655.0,1.5,-99.3
69,-725.0,655.0,1.5,-95.6
70,-705.0,655.0,1.5,-98.5
71,-685.0,655.0,1.5,-98.8
72,-775.0,645.0,1.5,-98.3
73,-765.0,645.0,1.5,-96.6
74,-755.0,645.0,1.5,-93.5
75,-745.0,645.0,1.5,-98.9
76,-715.0,645.0,1.5,-98.1
77,-705.0,645.0,1.5,-100.0
78,-695.0,645.0,1.5,-100.4
79,-685.0,645.0,1.5,-100.7
80,-645.0,645.0,1.5,-103.6
81,-795.0,635.0,1.5,-93.7
82,-785.0,635.0,1.5,-97.9
83,-775.0,635.0,1.5,-96.3
84,-765.0,635.0,1.5,-98.2
85,-735.0,635.0,1.5,-95.2
86,-725.0,635.0,1.5,-97.7
87,-715.0,635.0,1.5,-99.6
88,-705.0,635.0,1.5,-100.0
89,-695.0,635.0,1.5,-98.4
90,-685.0,635.0,1.5,-98.8
91,-555.0,635.0,1.5,-101.9
92,-795.0,625.0,1.5,-97.5
93,-755.0,625.0,1.5,-94.5
94,-745.0,625.0,1.5,-94.8
95,-725.0,625.0,1.5,-99.2
96,-715.0,625.0,1.5,-98.3
97,-705.0,625.0,1.5,-98.0
98,-695.0,625.0,1.5,-96.2
99,-685.0,625.0,1.5,-100.6
100,-555.0,625.0,1.5,-100.1
101,-785.0,615.0,1.5,-95.9
102,-775.0,615.0,1.5,-97.8
103,-765.0,615.0,1.5,-94.1
104,-755.0,615.0,1.5,-98.5
105,-735.0,615.0,1.5,-95.0
106,-715.0,615.0,1.5,-97.6
107,-705.0,615.0,1.5,-99.9
108,-695.0,615.0,1.5,-100.2
109,-685.0,615.0,1.5,-98.7
110,-675.0,615.0,1.5,-100.6
111,-665.0,615.0,1.5,-99.0
112,-795.0,605.0,1.5,-101.2
113,-775.0,605.0,1.5,-97.8
114,-755.0,605.0,1.5,-96.5
115,-735.0,605.0,1.5,-96.9
116,-725.0,605.0,1.5,-97.2
117,-715.0,605.0,1.5,-99.5
118,-705.0,605.0,1.5,-97.9
119,-695.0,605.0,1.5,-96.0
120,-665.0,605.0,1.5,-100.9
121,-615.0,605.0,1.5,-100.5
122,-605.0,605.0,1.5,-102.1
123,-555.0,605.0,1.5,-102.0
124,-545.0,605.0,1.5,-100.3
125,-775.0,595.0,1.5,-95.8
126,-765.0,595.0,1.5,-96.2
127,-755.0,595.0,1.5,-98.1
128,-745.0,595.0,1.5,-98.4
129,-735.0,595.0,1.5,-98.7
130,-725.0,595.0,1.5,-95.0
131,-715.0,595.0,1.5,-97.5
132,-685.0,595.0,1.5,-100.1
133,-675.0,595.0,1.5,-96.4
134,-665.0,595.0,1.5,-96.8
135,-655.0,595.0,1.5,-101.2
136,-585.0,595.0,1.5,-104.0
137,-545.0,595.0,1.5,-102.2
138,-775.0,585.0,1.5,-105.4
139,-765.0,585.0,1.5,-96.7
140,-755.0,585.0,1.5,-98.0
141,-745.0,585.0,1.5,-94.3
142,-735.0,585.0,1.5,-96.8
143,-725.0,585.0,1.5,-97.1
144,-705.0,585.0,1.5,-98.1
145,-695.0,585.0,1.5,-95.7
146,-685.0,585.0,1.5,-96.0
147,-675.0,585.0,1.5,-96.4
148,-655.0,585.0,1.5,-99.3
149,-265.0,585.0,1.5,-105.5
150,-755.0,575.0,1.5,-96.1
151,-745.0,575.0,1.5,-96.4
152,-735.0,575.0,1.5,-98.7
153,-715.0,575.0,1.5,-99.0
154,-705.0,575.0,1.5,-95.3
155,-695.0,575.0,1.5,-95.6
156,-685.0,575.0,1.5,-100.0
157,-675.0,575.0,1.5,-102.8
158,-665.0,575.0,1.5,-96.7
159,-655.0,575.0,1.5,-100.8
160,-645.0,575.0,1.5,-99.2
161,-535.0,575.0,1.5,-100.4
162,-495.0,575.0,1.5,-102.9
163,-755.0,565.0,1.5,-96.9
164,-745.0,565.0,1.5,-105.6
165,-735.0,565.0,1.5,-98.3
166,-725.0,565.0,1.5,-94.6
167,-715.0,565.0,1.5,-94.9
168,-705.0,565.0,1.5,-99.3
169,-685.0,565.0,1.5,-98.1
170,-675.0,565.0,1.5,-96.3
171,-665.0,565.0,1.5,-100.7
172,-655.0,565.0,1.5,-96.8
173,-635.0,565.0,1.5,-101.3
174,-535.0,565.0,1.5,-102.3
175,-525.0,565.0,1.5,-100.7
176,-375.0,565.0,1.5,-100.1
177,-745.0,555.0,1.5,-105.6
178,-735.0,555.0,1.5,-94.2
179,-725.0,555.0,1.5,-94.5
180,-715.0,555.0,1.5,-98.9
181,-705.0,555.0,1.5,-97.4
182,-695.0,555.0,1.5,-95.5
183,-685.0,555.0,1.5,-99.9
184,-675.0,555.0,1.5,-96.0
185,-655.0,555.0,1.5,-100.6
186,-645.0,555.0,1.5,-96.9
187,-635.0,555.0,1.5,-99.5
188,-525.0,555.0,1.5,-102.5
189,-735.0,545.0,1.5,-103.9
190,-715.0,545.0,1.5,-97.0
191,-705.0,545.0,1.5,-99.2
192,-695.0,545.0,1.5,-95.3
193,-685.0,545.0,1.5,-97.7
194,-675.0,545.0,1.5,-97.9
195,-665.0,545.0,1.5,-96.2
196,-655.0,545.0,1.5,-96.5
197,-645.0,545.0,1.5,-99.1
198,-635.0,545.0,1.5,-101.3
199,-625.0,545.0,1.5,-101.6
200,-565.0,545.0,1.5,-113.2
201,-535.0,545.0,1.5,-100.5
202,-495.0,545.0,1.5,-100.3
203,-735.0,535.0,1.5,-94.1
204,-725.0,535.0,1.5,-98.5
205,-715.0,535.0,1.5,-94.3
206,-705.0,535.0,1.5,-96.9
207,-695.0,535.0,1.5,-99.1
208,-685.0,535.0,1.5,-99.4
209,-675.0,535.0,1.5,-95.8
210,-665.0,535.0,1.5,-95.5
211,-655.0,535.0,1.5,-98.6
212,-645.0,535.0,1.5,-100.8
213,-635.0,535.0,1.5,-97.2
214,-625.0,535.0,1.5,-97.5
215,-525.0,535.0,1.5,-98.6
216,-505.0,535.0,1.5,-108.1
217,-495.0,535.0,1.5,-103.5
218,-435.0,535.0,1.5,-127.4
219,-715.0,525.0,1.5,-97.7
220,-705.0,525.0,1.5,-98.7
221,-695.0,525.0,1.5,-95.0
222,-685.0,525.0,1.5,-95.4
223,-675.0,525.0,1.5,-95.7
224,-655.0,525.0,1.5,-100.4
225,-645.0,525.0,1.5,-96.8
226,-635.0,525.0,1.5,-97.1
227,-625.0,525.0,1.5,-101.4
228,-615.0,525.0,1.5,-97.6
229,-495.0,525.0,1.5,-98.8
230,-415.0,525.0,1.5,-127.4
231,-285.0,525.0,1.5,-103.3
232,-715.0,515.0,1.5,-94.3
233,-705.0,515.0,1.5,-94.7
234,-695.0,515.0,1.5,-95.0
235,-675.0,515.0,1.5,-94.5
236,-665.0,515.0,1.5,-96.0
237,-655.0,515.0,1.5,-100.3
238,-645.0,515.0,1.5,-95.8
239,-635.0,515.0,1.5,-96.8
240,-625.0,515.0,1.5,-97.1
241,-615.0,515.0,1.5,-101.7
242,-525.0,515.0,1.5,-100.5
243,-515.0,515.0,1.5,-102.8
244,-495.0,515.0,1.5,-103.5
245,-475.0,515.0,1.5,-103.6
246,-295.0,515.0,1.5,-102.5
247,-285.0,515.0,1.5,-98.2
248,-695.0,505.0,1.5,-95.7
249,-685.0,505.0,1.5,-99.3
250,-675.0,505.0,1.5,-99.6
251,-665.0,505.0,1.5,-95.7
252,-655.0,505.0,1.5,-96.1
253,-645.0,505.0,1.5,-95.5
254,-635.0,505.0,1.5,-96.7
255,-625.0,505.0,1.5,-101.2
256,-615.0,505.0,1.5,-96.8
257,-605.0,505.0,1.5,-99.9
258,-515.0,505.0,1.5,-98.7
259,-505.0,505.0,1.5,-99.0
260,-495.0,505.0,1.5,-100.9
261,-485.0,505.0,1.5,-103.8
262,-285.0,505.0,1.5,-99.8
263,-705.0,495.0,1.5,-98.6
264,-695.0,495.0,1.5,-98.9
265,-685.0,495.0,1.5,-95.0
266,-675.0,495.0,1.5,-94.5
267,-665.0,495.0,1.5,-92.9
268,-655.0,495.0,1.5,-96.0
269,-645.0,495.0,1.5,-96.3
270,-635.0,495.0,1.5,-100.8
271,-625.0,495.0,1.5,-97.0
272,-615.0,495.0,1.5,-98.0
273,-605.0,495.0,1.5,-97.7
274,-515.0,495.0,1.5,-101.1
275,-505.0,495.0,1.5,-98.7
276,-485.0,495.0,1.5,-100.4
277,-475.0,495.0,1.5,-109.9
278,-395.0,495.0,1.5,-127.7
279,-295.0,495.0,1.5,-98.4
280,-275.0,495.0,1.5,-104.3
281,-245.0,495.0,1.5,-112.5
282,-695.0,485.0,1.5,-96.7
283,-685.0,485.0,1.5,-94.8
284,-675.0,485.0,1.5,-94.8
285,-665.0,485.0,1.5,-94.1
286,-655.0,485.0,1.5,-100.1
287,-645.0,485.0,1.5,-100.4
288,-635.0,485.0,1.5,-96.6
289,-625.0,485.0,1.5,-96.9
290,-615.0,485.0,1.5,-97.3
291,-605.0,485.0,1.5,-97.6
292,-595.0,485.0,1.5,-102.1
293,-515.0,485.0,1.5,-102.9
294,-505.0,485.0,1.5,-101.3
295,-495.0,485.0,1.5,-110.1
296,-485.0,485.0,1.5,-100.8
297,-455.0,485.0,1.5,-109.8
298,-425.0,485.0,1.5,-116.3
299,-305.0,485.0,1.5,-98.5
300,-275.0,485.0,1.5,-106.5
301,-685.0,475.0,1.5,-98.7
302,-675.0,475.0,1.5,-94.9
303,-665.0,475.0,1.5,-94.7
304,-655.0,475.0,1.5,-95.4
305,-645.0,475.0,1.5,-94.7
306,-635.0,475.0,1.5,-96.5
307,-625.0,475.0,1.5,-96.8
308,-615.0,475.0,1.5,-96.5
309,-605.0,475.0,1.5,-101.7
310,-595.0,475.0,1.5,-97.9
311,-505.0,475.0,1.5,-99.0
312,-485.0,475.0,1.5,-105.8
313,-315.0,475.0,1.5,-102.9
314,-305.0,475.0,1.5,-102.6
315,-275.0,475.0,1.5,-108.4
316,-675.0,465.0,1.5,-94.8
317,-665.0,465.0,1.5,-99.3
318,-655.0,465.0,1.5,-95.5
319,-645.0,465.0,1.5,-95.2
320,-635.0,465.0,1.5,-94.8
321,-625.0,465.0,1.5,-96.5
322,-615.0,465.0,1.5,-95.5
323,-605.0,465.0,1.5,-96.4
324,-595.0,465.0,1.5,-97.8
325,-585.0,465.0,1.5,-98.1
326,-505.0,465.0,1.5,-103.0
327,-495.0,465.0,1.5,-96.6
328,-485.0,465.0,1.5,-103.9
329,-475.0,465.0,1.5,-102.0
330,-365.0,465.0,1.5,-127.9
331,-315.0,465.0,1.5,-98.7
332,-665.0,455.0,1.5,-95.1
333,-655.0,455.0,1.5,-95.4
334,-645.0,455.0,1.5,-95.7
335,-635.0,455.0,1.5,-95.5
336,-625.0,455.0,1.5,-95.0
337,-615.0,455.0,1.5,-94.8
338,-605.0,455.0,1.5,-95.9
339,-595.0,455.0,1.5,-97.7
340,-585.0,455.0,1.5,-98.0
341,-555.0,455.0,1.5,-110.0
342,-505.0,455.0,1.5,-98.0
343,-495.0,455.0,1.5,-98.8
344,-485.0,455.0,1.5,-97.5
345,-475.0,455.0,1.5,-104.1
346,-455.0,455.0,1.5,-106.4
347,-325.0,455.0,1.5,-98.9
348,-315.0,455.0,1.5,-98.7
349,-265.0,455.0,1.5,-104.1
350,-665.0,445.0,1.5,-95.0
351,-655.0,445.0,1.5,-95.3
352,-645.0,445.0,1.5,-95.6
353,-635.0,445.0,1.5,-95.6
354,-625.0,445.0,1.5,-96.2
355,-615.0,445.0,1.5,-97.8
356,-605.0,445.0,1.5,-97.1
357,-595.0,445.0,1.5,-94.5
358,-585.0,445.0,1.5,-97.2
359,-575.0,445.0,1.5,-97.6
360,-505.0,445.0,1.5,-109.8
361,-495.0,445.0,1.5,-96.8
362,-485.0,445.0,1.5,-100.8
363,-475.0,445.0,1.5,-95.1
364,-445.0,445.0,1.5,-106.8
365,-355.0,445.0,1.5,-128.1
366,-325.0,445.0,1.5,-98.9
367,-255.0,445.0,1.5,-112.7
368,-655.0,435.0,1.5,-95.2
369,-645.0,435.0,1.5,-95.5
370,-635.0,435.0,1.5,-95.8
371,-625.0,435.0,1.5,-95.3
372,-615.0,435.0,1.5,-95.2
373,-605.0,435.0,1.5,-97.0
374,-595.0,435.0,1.5,-97.3
375,-585.0,435.0,1.5,-94.7
376,-575.0,435.0,1.5,-95.7
377,-515.0,435.0,1.5,-107.9
378,-505.0,435.0,1.5,-110.0
379,-495.0,435.0,1.5,-98.0
380,-485.0,435.0,1.5,-98.7
381,-475.0,435.0,1.5,-103.9
382,-465.0,435.0,1.5,-100.2
383,-335.0,435.0,1.5,-99.1
384,-325.0,435.0,1.5,-100.9
385,-655.0,425.0,1.5,-99.3
386,-645.0,425.0,1.5,-95.3
387,-635.0,425.0,1.5,-93.6
388,-625.0,425.0,1.5,-100.2
389,-615.0,425.0,1.5,-96.1
390,-605.0,425.0,1.5,-94.7
391,-595.0,425.0,1.5,-97.2
392,-585.0,425.0,1.5,-95.5
393,-575.0,425.0,1.5,-94.5
394,-565.0,425.0,1.5,-98.6
395,-505.0,425.0,1.5,-102.4
396,-495.0,425.0,1.5,-101.4
397,-485.0,425.0,1.5,-103.7
398,-475.0,425.0,1.5,-96.1
399,-345.0,425.0,1.5,-103.4
400,-335.0,425.0,1.5,-99.0
401,-325.0,425.0,1.5,-128.3
402,-795.0,415.0,1.5,-97.2
403,-645.0,415.0,1.5,-99.5
404,-635.0,415.0,1.5,-95.5
405,-625.0,415.0,1.5,-93.8
406,-615.0,415.0,1.5,-96.3
407,-605.0,415.0,1.5,-94.9
408,-595.0,415.0,1.5,-96.7
409,-585.0,415.0,1.5,-97.4
410,-575.0,415.0,1.5,-94.9
411,-565.0,415.0,1.5,-96.3
412,-555.0,415.0,1.5,-101.3
413,-485.0,415.0,1.5,-95.2
414,-475.0,415.0,1.5,-98.6
415,-465.0,415.0,1.5,-100.2
416,-345.0,415.0,1.5,-103.4
417,-265.0,415.0,1.5,-107.8
418,-635.0,405.0,1.5,-95.4
419,-625.0,405.0,1.5,-95.7
420,-615.0,405.0,1.5,-93.4
421,-605.0,405.0,1.5,-98.7
422,-595.0,405.0,1.5,-97.0
423,-585.0,405.0,1.5,-96.3
424,-575.0,405.0,1.5,-94.8
425,-565.0,405.0,1.5,-98.3
426,-555.0,405.0,1.5,-95.8
427,-515.0,405.0,1.5,-105.6
428,-485.0,405.0,1.5,-103.6
429,-475.0,405.0,1.5,-99.8
430,-465.0,405.0,1.5,-95.7
431,-435.0,405.0,1.5,-109.4
432,-405.0,405.0,1.5,-108.8
433,-375.0,405.0,1.5,-107.3
434,-345.0,405.0,1.5,-97.8
435,-315.0,405.0,1.5,-128.5
436,-305.0,405.0,1.5,-128.5
437,-795.0,395.0,1.5,-92.5
438,-635.0,395.0,1.5,-99.6
439,-625.0,395.0,1.5,-94.2
440,-615.0,395.0,1.5,-97.9
441,-605.0,395.0,1.5,-93.6
442,-595.0,395.0,1.5,-96.9
443,-585.0,395.0,1.5,-95.6
444,-575.0,395.0,1.5,-93.8
445,-565.0,395.0,1.5,-95.0
446,-555.0,395.0,1.5,-95.7
447,-545.0,395.0,1.5,-98.8
448,-535.0,395.0,1.5,-101.8
449,-525.0,395.0,1.5,-109.4
450,-515.0,395.0,1.5,-105.5
451,-485.0,395.0,1.5,-96.6
452,-475.0,395.0,1.5,-100.4
453,-465.0,395.0,1.5,-99.4
454,-455.0,395.0,1.5,-100.5
455,-425.0,395.0,1.5,-116.5
456,-355.0,395.0,1.5,-101.5
457,-345.0,395.0,1.5,-99.2
458,-795.0,385.0,1.5,-90.3
459,-785.0,385.0,1.5,-94.6
460,-615.0,385.0,1.5,-97.8
461,-605.0,385.0,1.5,-98.1
462,-595.0,385.0,1.5,-93.8
463,-585.0,385.0,1.5,-97.1
464,-575.0,385.0,1.5,-96.1
465,-565.0,385.0,1.5,-95.1
466,-555.0,385.0,1.5,-97.0
467,-545.0,385.0,1.5,-98.0
468,-535.0,385.0,1.5,-101.1
469,-525.0,385.0,1.5,-103.7
470,-515.0,385.0,1.5,-109.6
471,-475.0,385.0,1.5,-98.4
472,-465.0,385.0,1.5,-98.8
473,-455.0,385.0,1.5,-104.7
474,-355.0,385.0,1.5,-101.4
475,-295.0,385.0,1.5,-128.7
476,-265.0,385.0,1.5,-128.6
477,-795.0,375.0,1.5,-90.1
478,-785.0,375.0,1.5,-89.3
479,-775.0,375.0,1.5,-92.7
480,-615.0,375.0,1.5,-97.7
481,-605.0,375.0,1.5,-98.0
482,-595.0,375.0,1.5,-95.5
483,-585.0,375.0,1.5,-94.1
484,-575.0,375.0,1.5,-93.6
485,-565.0,375.0,1.5,-94.8
486,-555.0,375.0,1.5,-94.4
487,-545.0,375.0,1.5,-97.3
488,-535.0,375.0,1.5,-97.8
489,-525.0,375.0,1.5,-108.6
490,-515.0,375.0,1.5,-108.7
491,-475.0,375.0,1.5,-97.4
492,-465.0,375.0,1.5,-96.1
493,-455.0,375.0,1.5,-100.5
494,-395.0,375.0,1.5,-101.0
495,-365.0,375.0,1.5,-101.6
496,-275.0,375.0,1.5,-128.8
497,-795.0,365.0,1.5,-94.0
498,-785.0,365.0,1.5,-94.2
499,-775.0,365.0,1.5,-89.0
500,-765.0,365.0,1.5,-92.7
501,-605.0,365.0,1.5,-97.9
502,-595.0,365.0,1.5,-98.2
503,-585.0,365.0,1.5,-95.7
504,-575.0,365.0,1.5,-97.2
505,-565.0,365.0,1.5,-94.1
506,-555.0,365.0,1.5,-93.8
507,-545.0,365.0,1.5,-98.0
508,-535.0,365.0,1.5,-95.3
509,-525.0,365.0,1.5,-105.3
510,-515.0,365.0,1.5,-108.7
511,-505.0,365.0,1.5,-108.9
512,-475.0,365.0,1.5,-99.9
513,-465.0,365.0,1.5,-98.1
514,-455.0,365.0,1.5,-96.7
515,-375.0,365.0,1.5,-98.8
516,-365.0,365.0,1.5,-101.6
517,-345.0,365.0,1.5,-108.2
518,-265.0,365.0,1.5,-107.5
519,-795.0,355.0,1.5,-89.8
520,-785.0,355.0,1.5,-90.0
521,-775.0,355.0,1.5,-94.4
522,-765.0,355.0,1.5,-90.5
523,-755.0,355.0,1.5,-89.4
524,-605.0,355.0,1.5,-109.3
525,-595.0,355.0,1.5,-98.2
526,-585.0,355.0,1.5,-98.4
527,-575.0,355.0,1.5,-95.9
528,-565.0,355.0,1.5,-96.0
529,-555.0,355.0,1.5,-93.5
530,-545.0,355.0,1.5,-95.4
531,-535.0,355.0,1.5,-92.4
532,-525.0,355.0,1.5,-98.7
533,-505.0,355.0,1.5,-102.3
534,-475.0,355.0,1.5,-99.9
535,-465.0,355.0,1.5,-96.3
536,-455.0,355.0,1.5,-101.9
537,-445.0,355.0,1.5,-102.9
538,-385.0,355.0,1.5,-101.9
539,-375.0,355.0,1.5,-101.7
540,-265.0,355.0,1.5,-129.0
541,-255.0,355.0,1.5,-124.3
542,-795.0,345.0,1.5,-89.7
543,-785.0,345.0,1.5,-89.9
544,-775.0,345.0,1.5,-88.8
545,-765.0,345.0,1.5,-94.6
546,-755.0,345.0,1.5,-90.6
547,-745.0,345.0,1.5,-90.8
548,-735.0,345.0,1.5,-93.1
549,-595.0,345.0,1.5,-98.1
550,-585.0,345.0,1.5,-98.4
551,-575.0,345.0,1.5,-95.8
552,-565.0,345.0,1.5,-99.3
553,-555.0,345.0,1.5,-94.7
554,-545.0,345.0,1.5,-98.2
555,-535.0,345.0,1.5,-95.4
556,-525.0,345.0,1.5,-95.4
557,-515.0,345.0,1.5,-99.6
558,-505.0,345.0,1.5,-106.7
559,-495.0,345.0,1.5,-109.0
560,-465.0,345.0,1.5,-95.7
561,-455.0,345.0,1.5,-96.0
562,-445.0,345.0,1.5,-102.1
563,-385.0,345.0,1.5,-101.9
564,-265.0,345.0,1.5,-121.4
565,-255.0,345.0,1.5,-124.3
566,-795.0,335.0,1.5,-89.5
567,-785.0,335.0,1.5,-89.7
568,-775.0,335.0,1.5,-90.0
569,-765.0,335.0,1.5,-90.2
570,-755.0,335.0,1.5,-89.0
571,-745.0,335.0,1.5,-90.7
572,-735.0,335.0,1.5,-90.9
573,-585.0,335.0,1.5,-95.2
574,-575.0,335.0,1.5,-93.8
575,-565.0,335.0,1.5,-94.2
576,-555.0,335.0,1.5,-92.5
577,-545.0,335.0,1.5,-95.0
578,-535.0,335.0,1.5,-92.2
579,-525.0,335.0,1.5,-94.7
580,-515.0,335.0,1.5,-98.6
581,-495.0,335.0,1.5,-103.2
582,-485.0,335.0,1.5,-109.3
583,-475.0,335.0,1.5,-99.9
584,-465.0,335.0,1.5,-100.1
585,-455.0,335.0,1.5,-99.1
586,-445.0,335.0,1.5,-97.9
587,-385.0,335.0,1.5,-102.0
588,-275.0,335.0,1.5,-124.5
589,-265.0,335.0,1.5,-124.5
590,-795.0,325.0,1.5,-91.3
591,-785.0,325.0,1.5,-86.5
592,-775.0,325.0,1.5,-89.9
593,-765.0,325.0,1.5,-90.2
594,-755.0,325.0,1.5,-91.4
595,-745.0,325.0,1.5,-90.5
596,-735.0,325.0,1.5,-90.7
597,-725.0,325.0,1.5,-87.6
598,-715.0,325.0,1.5,-95.5
599,-575.0,325.0,1.5,-98.4
600,-565.0,325.0,1.5,-95.8
601,-555.0,325.0,1.5,-99.2
602,-545.0,325.0,1.5,-94.1
603,-535.0,325.0,1.5,-95.4
604,-525.0,325.0,1.5,-95.7
605,-515.0,325.0,1.5,-93.4
606,-505.0,325.0,1.5,-99.4
607,-495.0,325.0,1.5,-106.8
608,-485.0,325.0,1.5,-103.7
609,-475.0,325.0,1.5,-109.5
610,-465.0,325.0,1.5,-100.2
611,-455.0,325.0,1.5,-95.0
612,-445.0,325.0,1.5,-99.5
613,-435.0,325.0,1.5,-105.5
614,-425.0,325.0,1.5,-116.6
615,-395.0,325.0,1.5,-99.2
616,-385.0,325.0,1.5,-102.0
617,-305.0,325.0,1.5,-104.5
618,-275.0,325.0,1.5,-107.2
619,-795.0,315.0,1.5,-87.7
620,-785.0,315.0,1.5,-89.4
621,-775.0,315.0,1.5,-89.6
622,-765.0,315.0,1.5,-89.9
623,-755.0,315.0,1.5,-90.1
624,-745.0,315.0,1.5,-90.3
625,-735.0,315.0,1.5,-89.2
626,-725.0,315.0,1.5,-89.4
627,-715.0,315.0,1.5,-91.1
628,-705.0,315.0,1.5,-93.4
629,-565.0,315.0,1.5,-92.6
630,-545.0,315.0,1.5,-101.1
631,-535.0,315.0,1.5,-93.0
632,-525.0,315.0,1.5,-94.3
633,-515.0,315.0,1.5,-93.2
634,-505.0,315.0,1.5,-95.5
635,-495.0,315.0,1.5,-106.3
636,-485.0,315.0,1.5,-102.7
637,-475.0,315.0,1.5,-104.8
638,-465.0,315.0,1.5,-107.2
639,-455.0,315.0,1.5,-99.1
640,-445.0,315.0,1.5,-97.9
641,-435.0,315.0,1.5,-101.3
642,-405.0,315.0,1.5,-102.3
643,-395.0,315.0,1.5,-102.1
644,-285.0,315.0,1.5,-124.7
645,-795.0,305.0,1.5,-90.8
646,-785.0,305.0,1.5,-89.1
647,-775.0,305.0,1.5,-88.0
648,-765.0,305.0,1.5,-89.7
649,-755.0,305.0,1.5,-86.9
650,-745.0,305.0,1.5,-90.1
651,-735.0,305.0,1.5,-89.0
652,-725.0,305.0,1.5,-88.6
653,-715.0,305.0,1.5,-89.6
654,-705.0,305.0,1.5,-89.9
655,-695.0,305.0,1.5,-91.5
656,-565.0,305.0,1.5,-98.6
657,-545.0,305.0,1.5,-108.9
658,-535.0,305.0,1.5,-95.3
659,-525.0,305.0,1.5,-97.2
660,-515.0,305.0,1.5,-94.6
661,-505.0,305.0,1.5,-95.3
662,-495.0,305.0,1.5,-101.4
663,-485.0,305.0,1.5,-106.4
664,-465.0,305.0,1.5,-101.6
665,-455.0,305.0,1.5,-94.6
666,-445.0,305.0,1.5,-97.9
667,-435.0,305.0,1.5,-100.0
668,-405.0,305.0,1.5,-101.4
669,-305.0,305.0,1.5,-108.0
670,-285.0,305.0,1.5,-124.8
671,-795.0,295.0,1.5,-87.4
672,-785.0,295.0,1.5,-89.1
673,-775.0,295.0,1.5,-89.2
674,-765.0,295.0,1.5,-88.1
675,-755.0,295.0,1.5,-89.8
676,-745.0,295.0,1.5,-86.9
677,-735.0,295.0,1.5,-88.8
678,-725.0,295.0,1.5,-90.5
679,-715.0,295.0,1.5,-89.4
680,-705.0,295.0,1.5,-89.6
681,-695.0,295.0,1.5,-88.3
682,-685.0,295.0,1.5,-90.8
683,-635.0,295.0,1.5,-109.0
684,-535.0,295.0,1.5,-100.0
685,-525.0,295.0,1.5,-94.1
686,-515.0,295.0,1.5,-92.9
687,-505.0,295.0,1.5,-92.7
688,-495.0,295.0,1.5,-95.3
689,-475.0,295.0,1.5,-101.1
690,-465.0,295.0,1.5,-105.4
691,-455.0,295.0,1.5,-98.9
692,-445.0,295.0,1.5,-95.7
693,-435.0,295.0,1.5,-98.3
694,-795.0,285.0,1.5,-86.5
695,-785.0,285.0,1.5,-88.7
696,-775.0,285.0,1.5,-87.7
697,-765.0,285.0,1.5,-89.3
